,torque_sensor_b_6,torque_sensor_a_6,torque_sensor_b_5,torque_sensor_a_3,torque_sensor_b_3,torque_sensor_a_4,torque_sensor_b_4,io_current,power_load_mech_6,power_motor_el_1,power_motor_mech_1,brake_voltage_2,robot_voltage,supply_voltage_1,supply_voltage_2,supply_voltage_5,supply_voltage_3,brake_voltage_3,torque_sensor_b_2,motor_iq_2
139513,0.5961751937866211,0.7350656390190125,-0.9857615232467651,-32.44625473022461,-31.15761947631836,-4.768204212188721,-5.142669677734375,0.08788999170064926,1.168115258216858,9.928901672363281,12.989479064941406,10.895590782165527,48.58268737792969,47.62297821044922,47.40184783935547,47.56266784667969,47.803897857666016,10.875487327575684,48.179298400878906,3.3271379470825195
141369,-0.7783372402191162,-0.7101926803588867,0.7777729034423828,-30.518863677978516,-30.840259552001953,-4.468290328979492,-4.482500076293945,0.08788999170064926,1.0048772096633911,1.3395755290985107,-0.1174955740571022,10.754873275756836,48.58268737792969,47.66318130493164,47.48225784301758,47.62297821044922,47.86420822143555,11.17702865600586,32.52036666870117,3.808900833129883
135831,-0.7728170156478882,-0.605183482170105,0.9006062746047974,-34.3298454284668,-33.390079498291016,-4.919589519500732,-5.06836462020874,0.08788999170064926,1.1592187881469727,-1.469573736190796,1.7261600494384766,10.694567680358887,48.603485107421875,47.683284759521484,47.442054748535156,47.6430778503418,47.8441047668457,11.076515197753906,34.00592803955078,3.6833033561706543
139944,0.5575343370437622,0.8317845463752747,0.5701262950897217,-42.89360046386719,-42.51689910888672,-7.5931077003479,-7.8519368171691895,0.08788999170064926,0.07121869921684265,1.13718581199646,0.736535906791687,10.714667320251465,48.58268737792969,47.70338821411133,47.462154388427734,47.66318130493164,47.884307861328125,10.875487327575684,55.83820343017578,5.186234474182129
136148,0.6789771318435669,0.6134759783744812,0.5672016143798828,-32.917152404785156,-34.07951354980469,-5.045267581939697,-5.091228008270264,0.08788999170064926,0.29022714495658875,24.588045120239258,19.115304946899414,10.915693283081055,48.58268737792969,47.683284759521484,47.40184783935547,47.602874755859375,47.82400131225586,11.096616744995117,27.942630767822266,1.9159271717071533
141771,0.5823748707771301,0.9285035729408264,-1.2723724842071533,-34.64742660522461,-34.0576286315918,-4.979572296142578,-5.145527362823486,0.08788999170064926,0.2052309811115265,-1.5485553741455078,-2.485944986343384,10.875490188598633,48.58268737792969,47.66318130493164,47.442054748535156,47.62297821044922,47.8441047668457,10.855386734008789,49.51080322265625,3.82307505607605
1829761,0.18492552638053894,0.1215907633304596,0.09634089469909668,-45.35759735107422,-45.12143325805664,-8.098676681518555,-8.323486328125,0.11718666553497314,0.02265346050262451,1.6733615398406982,1.0836284160614014,10.654359817504883,48.58268737792969,47.70338821411133,47.48225784301758,47.683284759521484,47.90441131591797,11.036308288574219,51.953731536865234,5.250596523284912
1074383,0.1407644897699356,0.3426627516746521,-1.4069041013717651,-33.85894775390625,-33.64177703857422,-5.24521017074585,-5.517051696777344,0.1318349987268448,0.09452956169843674,-3.9792137145996094,-3.238922357559204,11.558975219726562,48.5618896484375,47.683284759521484,47.48225784301758,47.6430778503418,47.8441047668457,11.016206741333008,48.960594177246094,3.4236457347869873
2010669,-0.035879671573638916,0.08013975620269775,0.04077339172363281,-22.97355842590332,-23.56287956237793,-4.359750270843506,-4.662546157836914,0.1318349987268448,-4.555838131636847e-06,0.7988582849502563,0.00010754618415376171,10.031179428100586,48.5618896484375,47.683284759521484,47.462154388427734,47.62297821044922,47.8441047668457,10.835284233093262,34.919273376464844,4.070202827453613
1679228,-0.046919941902160645,0.05250576138496399,0.03199958801269531,-23.148775100708008,-23.737972259521484,-4.436870574951172,-4.673977851867676,0.14648333191871643,4.148768766754074e-06,0.6603027582168579,0.00485008442774415,9.789949417114258,48.5618896484375,47.683284759521484,47.462154388427734,47.6430778503418,47.86420822143555,10.97600269317627,35.018310546875,4.0741353034973145
1570870,0.035882025957107544,0.24318039417266846,-0.128853440284729,-26.85024642944336,-25.532695770263672,-4.088399410247803,-4.013808250427246,0.17577998340129852,0.032585661858320236,6.6300153732299805,4.845468997955322,10.855384826660156,48.5618896484375,47.683284759521484,47.462154388427734,47.62297821044922,47.884307861328125,11.05640983581543,40.70746612548828,2.6277575492858887
2099323,-0.05796021223068237,0.08290314674377441,0.055396437644958496,-32.73098373413086,-31.485923767089844,-4.482572078704834,-4.814013957977295,0.17577998340129852,1.402331417921232e-05,0.6518967747688293,1.0812418950730289e-41,10.855384826660156,48.5618896484375,47.683284759521484,47.462154388427734,47.62297821044922,47.86420822143555,10.955900192260742,29.45020294189453,2.0421929359436035
1260017,-0.03311961889266968,0.05526915192604065,-0.3014048933982849,-21.659425735473633,-20.509662628173828,-3.4200196266174316,-3.748025894165039,0.16113166511058807,6.14687110100931e-07,0.34461864829063416,-4.1564833714625993e-13,10.915694236755371,48.54109191894531,47.6430778503418,47.42195129394531,47.62297821044922,47.8441047668457,11.116720199584961,12.327713012695312,1.4254329204559326
20526,-0.07176053524017334,0.10777375102043152,-0.6377339959144592,-25.032363891601562,-25.839111328125,-3.482858657836914,-3.342207193374634,0.14648333191871643,0.0008650859235785902,4.703721523284912,2.746809244155884,10.87548828125,48.5618896484375,47.70338821411133,47.48225784301758,47.6430778503418,47.86420822143555,11.056412696838379,36.56990051269531,2.369633197784424
332483,-0.046919941902160645,-0.04697665572166443,0.03492426872253418,-34.264137268066406,-34.068572998046875,-3.0486979484558105,-3.0421299934387207,0.1318349987268448,8.378694474231452e-05,0.8818888068199158,0.030623072758316994,10.714670181274414,48.5618896484375,47.58277130126953,47.36164474487305,47.522464752197266,47.74359130859375,10.855385780334473,36.84500503540039,4.3549604415893555
2120759,-0.08004072308540344,0.08290314674377441,0.1548328399658203,-35.70968246459961,-33.959136962890625,-4.251209735870361,-4.276732921600342,0.1318349987268448,3.08511494040431e-06,0.5687327980995178,0.027780916541814804,10.754874229431152,48.54109191894531,47.56266784667969,47.3415412902832,47.48225784301758,47.74359130859375,10.855385780334473,42.18202590942383,5.243000030517578
2173236,-0.08004072308540344,0.07184955477714539,0.19285273551940918,-35.578269958496094,-33.89347457885742,-4.439727306365967,-4.74256706237793,0.14648333191871643,7.410576472466346e-07,0.6154783964157104,0.0538223572075367,10.393027305603027,48.54109191894531,47.56266784667969,47.32143783569336,47.50236129760742,47.70338821411133,10.955901145935059,44.17378234863281,5.495928764343262
151576,-0.11040142178535461,0.33989936113357544,0.4238961935043335,-33.431854248046875,-33.54328536987305,-5.153807640075684,-5.182680130004883,0.11718666553497314,0.07752322405576706,27.110923767089844,24.842844009399414,10.935797691345215,48.5618896484375,47.6430778503418,47.442054748535156,47.56266784667969,47.803897857666016,10.915692329406738,28.448822021484375,1.9114210605621338
1744734,0.03312194347381592,0.28186798095703125,0.6812610626220703,-32.29294204711914,-31.934600830078125,-4.888169765472412,-5.096943378448486,0.1318349987268448,0.12046895176172256,66.00569915771484,59.767581939697266,10.774975776672363,48.5618896484375,47.602874755859375,47.40184783935547,47.522464752197266,47.763694763183594,10.996105194091797,32.3002815246582,1.982377052307129
1778220,-0.273245245218277,-0.17961984872817993,0.5876739025115967,-33.935604095458984,-32.40517044067383,-4.673945426940918,-4.771145820617676,0.11718666553497314,0.13939820230007172,2.8720831871032715,2.4087305068969727,9.729643821716309,48.58268737792969,47.66318130493164,47.442054748535156,47.62297821044922,47.8441047668457,10.031181335449219,30.2755126953125,3.8842718601226807
1080773,-0.024839431047439575,0.08842995762825012,0.16653132438659668,-31.14307403564453,-30.194595336914062,-5.25377893447876,-5.1883955001831055,0.08788999170064926,1.2997263183933683e-05,0.33816203474998474,0.020976951345801353,10.915696144104004,48.54109191894531,47.58277130126953,47.36164474487305,47.50236129760742,47.74359130859375,11.820308685302734,37.12010955810547,5.5282182693481445
332814,-0.035879671573638916,0.1022469699382782,0.1431344747543335,-34.29698944091797,-32.40517044067383,-4.062692642211914,-4.019524097442627,0.08788999170064926,-4.513206295087002e-05,0.5652018785476685,0.024289924651384354,10.67446517944336,48.54109191894531,47.56266784667969,47.36164474487305,47.50236129760742,47.74359130859375,11.940924644470215,40.96056365966797,5.214954376220703
609131,0.044162213802337646,0.15751495957374573,-0.9038727283477783,-33.04856491088867,-32.05498123168945,-5.105250358581543,-5.316999912261963,0.08788999170064926,-0.01642572693526745,19.60057258605957,15.083218574523926,10.654361724853516,48.5618896484375,47.6430778503418,47.42195129394531,47.542564392089844,47.763694763183594,12.061540603637695,49.9179573059082,3.481457233428955
1169905,0.04968234896659851,0.1022469699382782,-0.9594401121139526,-29.653724670410156,-28.8594970703125,-4.739641189575195,-4.956907749176025,0.08788999170064926,0.09611789137125015,38.77308654785156,39.54821014404297,10.895589828491211,48.54109191894531,47.602874755859375,47.381744384765625,47.542564392089844,47.763694763183594,12.202258110046387,48.905574798583984,2.7266221046447754
1667431,0.09660345315933228,0.04145216941833496,0.3069121837615967,-31.088321685791016,-30.490070343017578,-4.859606742858887,-4.9026079177856445,0.1025383323431015,0.12205756455659866,68.2763671875,63.12725067138672,10.654362678527832,48.54109191894531,47.58277130126953,47.36164474487305,47.522464752197266,47.74359130859375,11.98112964630127,34.53412628173828,2.4073941707611084
602497,0.17112520337104797,0.08566656708717346,0.4794635772705078,-33.946556091308594,-32.16441345214844,-4.8938822746276855,-5.136953830718994,0.08788999170064926,0.033798761665821075,42.60531997680664,35.293888092041016,10.734770774841309,48.5618896484375,47.62297821044922,47.40184783935547,47.56266784667969,47.78379821777344,12.202259063720703,29.50522232055664,1.9990800619125366
2001194,-0.024839431047439575,0.024871766567230225,0.4589914083480835,-31.99726104736328,-32.51460266113281,-4.745353698730469,-4.8397345542907715,0.08788999170064926,-0.0064789773896336555,48.86662673950195,42.62287521362305,10.976001739501953,48.5618896484375,47.58277130126953,47.40184783935547,47.56266784667969,47.763694763183594,11.981130599975586,30.891746520996094,1.8890900611877441
764548,-0.18216314911842346,-0.3316068649291992,0.7251300811767578,-33.61802291870117,-32.996116638183594,-4.948152542114258,-5.174106121063232,0.1025383323431015,0.09401863068342209,-1.2616616487503052,-1.0043221712112427,10.714668273925781,48.5618896484375,47.70338821411133,47.48225784301758,47.66318130493164,47.884307861328125,11.96102523803711,30.737689971923828,3.462611675262451
1781839,0.01932162046432495,0.22383654117584229,-1.190483570098877,-35.41400146484375,-34.11234664916992,-5.102394104003906,-5.337005138397217,0.08788999170064926,0.04208843782544136,-2.318956136703491,-3.408259630203247,10.67446517944336,48.5618896484375,47.683284759521484,47.442054748535156,47.6430778503418,47.86420822143555,12.182156562805176,49.98398208618164,3.7109711170196533
1171023,-0.04967999458312988,0.30121177434921265,-1.0442535877227783,-31.96440887451172,-32.065921783447266,-5.016704559326172,-5.06836462020874,0.08788999170064926,0.14520946145057678,5.139979839324951,6.947268486022949,10.875489234924316,48.5618896484375,47.6430778503418,47.42195129394531,47.58277130126953,47.82400131225586,12.121847152709961,50.776283264160156,3.4393839836120605
503277,0.19320571422576904,-0.011052429676055908,-1.2314280271530151,-34.08892059326172,-34.385929107666016,-4.959578037261963,-5.179821968078613,0.08788999170064926,0.035319890826940536,-1.7543635368347168,-2.769293785095215,10.795077323913574,48.5618896484375,47.683284759521484,47.462154388427734,47.66318130493164,47.8441047668457,12.061540603637695,50.3691291809082,3.5654263496398926
49204,0.15180474519729614,0.07184955477714539,-0.19027000665664673,-30.420303344726562,-29.351951599121094,-4.334043025970459,-4.4282002449035645,0.08788999170064926,0.028239378705620766,4.480835437774658,1.8309820890426636,10.875487327575684,48.58268737792969,47.683284759521484,47.462154388427734,47.6430778503418,47.86420822143555,12.202259063720703,48.685489654541016,5.450119972229004
1542937,-0.016559213399887085,0.04421555995941162,-0.02649235725402832,-29.76323699951172,-30.369693756103516,-6.030699253082275,-6.071479797363281,0.08788999170064926,7.985327101778239e-06,0.8501584529876709,0.018118588253855705,10.694564819335938,48.5618896484375,47.70338821411133,47.48225784301758,47.6430778503418,47.86420822143555,12.22236156463623,48.04724884033203,3.480320930480957
947870,-0.046919941902160645,0.04974237084388733,0.04077339172363281,-27.28829002380371,-27.918365478515625,-5.239497661590576,-5.479898929595947,0.08788999170064926,-1.4275410649133846e-05,0.5084034204483032,5.928893802558301e-42,10.915695190429688,48.5618896484375,47.66318130493164,47.442054748535156,47.62297821044922,47.86420822143555,12.162054061889648,42.193031311035156,5.174971103668213
2011371,-0.10212123394012451,0.11053717136383057,-0.05281376838684082,-24.4300537109375,-24.908920288085938,-3.597111701965332,-3.882345676422119,0.08788999170064926,1.3820136700815056e-05,1.7359555959701538,0.0009962018812075257,10.97599983215332,48.5618896484375,47.66318130493164,47.462154388427734,47.602874755859375,47.8441047668457,12.041438102722168,48.35536575317383,5.173929214477539
